name frequency mean_age
zaida 3597 22.5
jacqueline 3596 41.2
oihane 3589 17.5
maria sandra 3564 39.4
haizea 3540 11.3
hafida 3518 40
casilda 3512 62.5
sarah 3508 19.2
maria adela 3501 53.3
ioana 3495 41.5
amal 3492 22.2
salome 3483 39.8
jeronima 3473 66.9
maria susana 3468 45.9
maria eulalia 3464 52.9
simona 3455 46.1
thais 3442 19.8
maria vanesa 3404 34.7
najat 3392 36.2
desire 3388 20
celsa 3374 68.5
clementina 3373 68.9
encarnacio 3359 68.3
clara maria 3352 36.1
hajar 3352 14
janire 3343 21.6
triana 3339 7.1
evelyn 3324 21
maria cecilia 3317 47.9
ofelia 3301 64
irune 3294 20.3
zohra 3288 46.5
anunciacion 3270 71.4
victoriana 3266 72.5
elisenda 3243 38
luciana 3239 53.5
ikram 3221 19.3
cynthia 3216 20.9
iman 3194 12.6
maria ester 3194 44.3
aitziber 3171 31.5
nayra 3156 16.2
maria lorena 3155 35.8
dina 3152 22
maria amor 3134 53.4
yesica 3132 27.1
karen 3127 23.8
eloina 3119 68.2
rosa isabel 3117 46.1
bernarda 3116 67.3
zahra 3109 39.3
nelida 3092 56.4
florinda 3085 68.3
maria virginia 3079 44.7
izaro 3077 9.9
yurena 3076 27
maria oliva 3075 56
lia 3073 11.8
nina 3062 35.4
olaya 3059 21.6
sabela 3059 14.2
maria camino 3058 50.4
maria clara 3056 50.9
primitiva 3051 72.7
teresa maria 3050 45.8
mariya 3033 44.3
hayat 3030 30.5
maria estela 3015 41
siham 3008 24.7
jamila 2996 36.4
henar 2992 22.9
blanca maria 2973 38.2
isolina 2973 71
damaris 2971 25.1
fatima zahra 2954 17.5
dulce maria 2948 45.4
nataliya 2946 41.4
maxima 2944 70.6
olalla 2941 29.5
susana maria 2941 40.7
garazi 2939 15.5
ada 2938 16.9
lucrecia 2925 60.4
nekane 2916 28.7
ariana 2911 16.3
melanie 2904 20.7
dunia 2898 19.5
fidela 2898 72.2
maria visitacion 2896 62.9
pamela 2894 32.2
maria gemma 2890 45.5
marwa 2886 5.2
alicia maria 2883 37.1
carmela 2883 46.1
ana teresa 2876 45.1
maria agustina 2872 55.8
sonsoles 2871 40.9
belinda 2870 33.9
svetlana 2864 42.8
fatna 2863 47.6
maria catalina 2858 52.6
arancha 2857 19.6
hanan 2857 28.7
jone 2852 22.8
arantza 2845 43.3
maximina 2841 70.7
yessica 2838 25.6
justina 2836 69.4
mina 2833 40.8
elisa maria 2831 39.8
brenda 2823 24.7
iryna 2821 38.6
imane 2808 19.1
melisa 2804 22.6
maria amelia 2803 57.5
maria loreto 2801 50.5
maria leonor 2799 51.6
maria virtudes 2788 53.4
maria adoracion 2781 60.1
sira 2774 30.7
edelmira 2765 69.4
basilia 2761 67
eladia 2761 69.5
chloe 2754 4.6
maria angelica 2751 47.3
luisa fernanda 2749 39.4
viorica 2744 46.1
anne 2739 25.1
carmen dolores 2732 48.9
ivet 2728 8.5
esther maria 2726 37.2
maria llanos 2724 48.5
halima 2712 35.6
fatima zohra 2708 27.5
cristobalina 2706 61.1
maria gabriela 2689 37.1
maria salome 2687 51.6
isidra 2677 70.1
leila 2667 23.2
maria santos 2665 58.9
rita maria 2657 44.1
maria o 2655 42.9
apolonia 2646 66.9
carmen delia 2646 47.8
oksana 2639 38.9
argentina 2632 68.9
diana maria 2620 32.4
julieta 2619 19.8
raquel maria 2619 35.9
maria sierra 2618 51.2
maria irene 2615 48.6
rahma 2610 48
arantzazu 2606 34.4
ana luisa 2605 45.7
felicia 2598 57.8
ana lucia 2590 33.3
miguela 2572 67
ana pilar 2570 41.3
bernardina 2570 68.3
maria flor 2560 54.6
abigail 2555 21.5
maria covadonga 2550 52.2
lucila 2541 62.9
maria fuensanta 2541 48.8
prudencia 2541 70.8
dorotea 2530 69.8
angelita 2525 67.3
caterina 2519 31.7
michelle 2513 19.7
maria monserrat 2510 48.6
isabella 2509 9.9
gala 2505 13.9
karina 2504 27.9
teofila 2504 74.2
patricia maria 2502 31.5
olaia 2483 17.9
olimpia 2481 56
alazne 2474 20.6
jara 2469 14.1
narcisa 2469 66.9
rodica 2469 44.6
olena 2449 40.1
priscila 2449 37.4
dolores maria 2444 46.8
maria ana 2443 55.8
melissa 2430 19.8
naomi 2428 14.7
maria lluisa 2425 59.7
milagrosa 2413 48.5
maria alba 2400 41.6
ana victoria 2398 35.4
rosario maria 2391 43.9
segunda 2382 72.9
nancy 2379 42
malena 2371 10.4
luz divina 2370 54.3
maria vanessa 2369 35.5
maria paula 2361 41.9
maria rita 2359 55.9
habiba 2356 46
amada 2349 62.7
eduarda 2343 65.9
maria caridad 2332 52.5
emerita 2324 69.2
maddi 2322 10.3
dorinda 2321 71.4
naira 2321 14.9
loubna 2319 26.5
zuriñe 2318 26.5
selene 2302 16.8
benigna 2293 71.3
maria matilde 2288 55
enara 2274 12.7
georgeta 2271 44.9
maria henar 2271 48.9
libertad 2269 31.3
maria celeste 2265 39.6
mariela 2259 29.7
iraia 2240 10.2
svitlana 2238 43.4
carmen pilar 2227 46.6
bruna 2222 15.5
mirela 2222 34.9
damiana 2220 66.4
bianca 2216 16.5
yamina 2210 44.8
katia 2206 26.1
lidia maria 2206 32.3
margarida 2204 56.1
itxaso 2194 25.9
marisa 2194 41.8
angels 2190 45.8
roxana 2188 31
maria neus 2180 48.3
resurreccion 2177 65.2
lorea 2173 23.6
anita 2169 55.8
aziza 2164 34.2
tetyana 2160 42.1
immaculada 2148 44.9
nuria maria 2148 36.4
ernestina 2136 68.6
ionela 2131 31.2
lucia maria 2127 29.7
maria candelas 2124 64.4
rosalina 2122 62.1
ylenia 2117 14.7
santiaga 2113 68.5
isaura 2108 62.6
mia 2105 5.6
rosaura 2101 59.4
irma 2100 43.7
blanca nieves 2096 58.2
maria joaquina 2094 59.2
maria veronica 2091 37.1
ilham 2089 24.6
queralt 2077 11.7
marian 2070 25.9
idaira 2069 14.5
zoraida 2063 33.5
cinta 2056 52.6
farah 2056 16.5
luzdivina 2056 67.1
digna 2054 66.9
petronila 2054 67.6
maria sonsoles 2053 52.2
maria noelia 2051 36.5
maria carolina 2046 39.7
maria ramona 2043 59.9
gumersinda 2037 71.3
maya 2033 14.5
albina 2029 67.1
mirella 2028 22.7
margalida 2027 36.5
placida 2025 67.8
ana beatriz 2020 37.2
maria africa 2018 52.6
deborah 2015 30.3
maria engracia 2012 58.2
catalina maria 2011 41.4
valeriana 2011 72
eufemia 2010 71.5
hilaria 2000 71.4
jaione 1998 34.9
gina 1997 22.4
maria soraya 1997 42
oihana 1996 27.5
selena 1984 11.9
hiba 1983 7.5
generosa 1978 72.9
ana vanesa 1977 33.7
celia maria 1976 36
cloe 1973 4.7
romina 1973 26.7
mencia 1971 9.2
eduvigis 1970 60.8
meriem 1969 27
miranda 1965 11.3
miryam 1960 27.1
casimira 1958 71.6
mariola 1955 25.8
marlene 1955 39.7
norma 1952 43.1
zineb 1949 28.1
sanae 1948 26.1
carina 1946 35.3
daria 1946 39.5
constanza 1939 52.1
saadia 1930 44.6
fe 1925 69.7
constantina 1924 67.7
paula andrea 1924 28.8
monica maria 1921 37.6
gladys 1914 46.4
gemma maria 1906 36.8
ana dolores 1900 48.7
celeste 1900 25.3
angelines 1898 62.1
eulogia 1898 70.3
ana josefa 1895 57.6
crescencia 1895 73.2
raimunda 1894 72.4
samantha 1893 20.9
blanca esther 1892 52.9
maryam 1888 16
divina 1886 65.1
daniella 1884 5.7
ekaterina 1884 30.5
ileana 1884 44.4
noura 1884 27.5
rogelia 1883 70.1
encarnacion maria 1877 39.4
enedina 1876 70.3
cornelia 1875 47.7
maria esmeralda 1875 45.4
maria josefina 1871 58
janet 1867 35.3
domitila 1860 70.9
asmae 1854 23.1
irene maria 1854 28.2
martha 1847 43.8
monika 1846 39.3
ginesa 1844 62.3
rabia 1841 41.7
misericordia 1839 58.5
